公告,#genre#
请阅读,https://liuliuliu.tv/api/channels/1997/stream
yuanzl77.github.io,https://liuliuliu.tv/api/channels/233/stream
更新日期,https://gitlab.com/lr77/IPTV/-/raw/main/%E4%B8%BB%E8%A7%92.mp4
2025-12-22,https://gitlab.com/lr77/IPTV/-/raw/main/%E8%B5%B7%E9%A3%8E%E4%BA%86.mp4
央视频道,#genre#
重温经典,https://www.wmviv.com/iptv/bc2t.php?id=cwjd$LR•IPV4『线路1』
重温经典,http://1.62.64.234/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8#http://mtw.so/5xS2Mh$LR•IPV4『线路2』
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8$LR•IPV4『线路3』
重温经典,http://8.138.7.223/tv/cwjd.php$LR•IPV4『线路4』
重温经典,https://other.ottiptv.cc/cwjd.m3u8$LR•IPV4『线路5』
重温经典,http://101.35.240.114:88/live.php?id=重温经典$LR•IPV4『线路6』
CCTV1,http://36.131.221.148/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000210103.m3u8$LR•IPV4『线路1』
CCTV1,https://angtv.cc/test/ysp.php?id=cctv1$LR•IPV4『线路2』
CCTV1,http://101.35.240.114:88/live.php?id=CCTV1$LR•IPV4『线路3』
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$LR•IPV4『线路4』
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8$LR•IPV4『线路5』
CCTV1,https://www.wmviv.com/iptv/bc2t.php?id=cctv1$LR•IPV4『线路6』
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4『线路7』
CCTV2,http://36.131.221.148/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203603.m3u8$LR•IPV4『线路1』
CCTV2,https://angtv.cc/test/ysp.php?id=cctv2$LR•IPV4『线路2』
CCTV2,http://148.135.93.213/live.php?id=CCTV2$LR•IPV4『线路3』
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8$LR•IPV4『线路4』
CCTV2,https://play.kankanlive.com/live/1698234898628961.m3u8$LR•IPV4『线路5』
CCTV2,https://www.wmviv.com/iptv/bc2t.php?id=cctv2$LR•IPV4『线路6』
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8$LR•IPV4『线路7』
CCTV3,http://36.131.221.148/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203803.m3u8$LR•IPV4『线路1』
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3$LR•IPV4『线路2』
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8$LR•IPV4『线路3』
CCTV3,https://www.wmviv.com/iptv/bc2t.php?id=cctv3$LR•IPV4『线路4』
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8$LR•IPV4『线路5』
CCTV4,http://36.131.221.148/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204803.m3u8$LR•IPV4『线路1』
CCTV4,https://angtv.cc/test/ysp.php?id=cctv4$LR•IPV4『线路2』
CCTV4,http://148.135.93.213/live.php?id=CCTV4$LR•IPV4『线路3』
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8$LR•IPV4『线路4』
CCTV4,https://play.kankanlive.com/live/1698234936258960.m3u8$LR•IPV4『线路5』
CCTV4,https://www.wmviv.com/iptv/bc2t.php?id=cctv4$LR•IPV4『线路6』
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8$LR•IPV4『线路7』
CCTV5,http://36.131.221.148/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000205103.m3u8$LR•IPV4『线路1』
